name,price,datetime
"Slime, Large Firework x4",675,2025-03-02T08:22:15
Military Node Slime Guards,159,2025-03-02T08:14:23
Advanced Orb of Alchemy,4498,2025-03-02T06:51:03
Advanced Orb of Alchemy,4498,2025-03-02T06:51:03
Advanced Orb of Alchemy,4498,2025-03-02T06:51:03
Elite Orb of Alchemy,8500,2025-03-02T06:49:22
Elite Orb of Alchemy,8500,2025-03-02T06:49:22
Titanium Lockbox,8000,2025-03-02T06:45:04
Autogun,1200,2025-03-02T06:10:04
Firestorm Raider Tunic,79999,2025-03-02T06:01:02
Divine Mote x10,1100,2025-03-02T06:00:04
Divine Mote x8,1000,2025-03-02T06:00:04
Ignition Armor,379999,2025-03-02T05:48:24
Brandish,1333,2025-03-02T05:41:02
Brandish,1333,2025-03-02T05:41:02
Brandish,1333,2025-03-02T05:41:02
Mega Tundrus Recipe,17000,2025-03-02T05:38:24
Fusion Blaster Recipe,14000,2025-03-02T05:30:04
Brandish,810,2025-03-02T05:24:22
Black Chaingun Recipe,12000,2025-03-02T04:56:02
Blazing Pulsar Recipe,12000,2025-03-02T04:56:02
Golden Slime Coin,500,2025-03-02T04:32:43
Fancy Braided Beard,199999,2025-03-02T04:15:04
Silversix Recipe,12600,2025-03-02T03:46:02
Dark Thorn Blade Recipe,14000,2025-03-02T03:24:22
Dark Thorn Blade Recipe,14000,2025-03-02T03:24:22
Fusion Blaster Recipe,14000,2025-03-02T03:24:22
Trick or Treat Confetti x26,9999,2025-03-02T03:18:24
Jack o' Bombhead Mask,24999,2025-03-02T03:16:02
Late Harvest Scale Helm,29999,2025-03-02T03:16:02
Hallow Fur Coat,29999,2025-03-02T03:13:24
Garish Winter Pullover,49999,2025-03-02T03:12:42
Military Plume,29999,2025-03-02T03:11:44
Divine Star,2100,2025-03-02T03:07:42
Divine Star x3,6000,2025-03-02T03:07:42
Divine Star,2100,2025-03-02T03:07:42
"Slime, Large Firework",500,2025-03-02T03:06:44
Raptor Recipe,13900,2025-03-02T03:06:02
"Slime, Medium Firework x2",2000,2025-03-02T03:05:04
Wolver Cap,2555,2025-03-02T02:48:24
Wolver Cap,2555,2025-03-02T02:48:24
Wolver Coat,2767,2025-03-02T02:48:24
Dusky Node Slime Wall,100000,2025-03-02T02:32:42
Faust Recipe,12000,2025-03-02T02:21:02
Fancy Node Slime Wall,60000,2025-03-02T02:10:04
Gold Lockbox,5200,2025-03-02T02:06:03
Dangerous Spike Mohawk,99000,2025-03-02T02:06:02
Dangerous Vertical Vents,500000,2025-03-02T02:05:04
Virulent Catalyzer Recipe,13500,2025-03-02T02:04:22
Hallow Crest,1000,2025-03-02T02:03:24
Divine Stranger Cap,150000,2025-03-02T02:01:44
Dangerous Oni Helm,150000,2025-03-02T02:01:02
Pulsar,75000,2025-03-02T01:51:02
Autogun,40000,2025-03-02T01:51:02
Silver Lockbox,8000,2025-03-02T01:47:42
Winter Grave Recipe,29000,2025-03-02T01:05:04
Elite Orb of Alchemy,8000,2025-03-02T00:54:22
Thwack Hammer Recipe,118,2025-03-02T00:26:44
Magnus,6990,2025-03-02T00:18:23
QQQ Slime Lockbox,9999,2025-03-02T00:06:02
QQQ Slime Lockbox,9999,2025-03-02T00:06:02
QQQ Slime Lockbox,9999,2025-03-02T00:06:02
QQQ Slime Lockbox,9999,2025-03-02T00:06:02
Hallow Goggles,1050,2025-03-02T00:02:42
Wildfire Recipe,29000,2025-03-01T23:16:44
Platinum Lockbox,11000,2025-03-01T22:54:22
Dark Briar Barrage Recipe,32000,2025-03-01T21:56:44
Grim Repeater Recipe,32000,2025-03-01T21:56:44
Zee Core x10,15000,2025-03-01T20:41:02
Zee Core x10,15000,2025-03-01T20:41:02
Zee Core x20,29000,2025-03-01T20:40:04
Zee Core x10,15000,2025-03-01T20:39:21
Blackhawk Recipe,14000,2025-03-01T20:05:04
Breach Blaster Recipe,14000,2025-03-01T20:05:04
Raptor Recipe,14000,2025-03-01T20:05:04
Fiendish Ur Glyph x5,1000,2025-03-01T19:33:23
Avenger Recipe,14000,2025-03-01T19:21:43
Spike Shower Recipe,13000,2025-03-01T19:21:43
Rock Salt,799,2025-03-01T18:46:43
Fine Fabric,999,2025-03-01T18:46:01
Charged Quicksilver Mail Recipe,14000,2025-03-01T18:34:21
Charged Quicksilver Helm Recipe,14000,2025-03-01T18:34:21
Dark Thorn Shield Recipe,14500,2025-03-01T18:33:23
Twisted Spine Cone Recipe,8000,2025-03-01T18:32:41
Electron Charge,150000,2025-03-01T18:21:43
Crest of Ur,3000,2025-03-01T18:16:01
Magnus,6999,2025-03-01T16:47:15
Soul Dust,5,2025-03-01T16:11:27
Faust Recipe,14444,2025-03-01T16:07:42
Brandish,129999,2025-03-01T15:56:02
Toasty Vitakit,60000,2025-03-01T15:27:42
Divine Orb x5,12222,2025-03-01T14:03:55
Elite Quick Draw Module,120000,2025-03-01T13:42:15
Prismatic Dragon Wings,270000,2025-03-01T13:36:02
Divine Stranger Robe,15700,2025-03-01T13:36:02
Autogun,130000,2025-03-01T13:16:27
Hallow Toupee,1200,2025-03-01T12:58:06
Hallow Side Blade,6000,2025-03-01T12:57:42
Blighted Bone x100,10000,2025-03-01T12:54:22
Ghost Bell x250,22500,2025-03-01T12:49:46
Blaze Pepper x100,10000,2025-03-01T12:48:55
Autogun,15000,2025-03-01T10:29:46
Autogun,25000,2025-03-01T10:29:46
Frosty Goggles,615,2025-03-01T10:27:15
Hallow Barrel Belly,15,2025-03-01T10:27:15
Hallow Goggles,90,2025-03-01T10:27:15
Hallow Knight Vision Goggles,132,2025-03-01T10:27:15
Hallow Munitions Pack,144,2025-03-01T10:27:15
Hallow Vented Visor,15,2025-03-01T10:27:15
Stoic Buster,31000,2025-03-01T10:18:55
Golden Slime Coin x4,2000,2025-03-01T10:15:35
Monster Bone x5,1000,2025-03-01T10:13:06
Warp Dust,1300,2025-03-01T10:13:06
Warp Dust,1500,2025-03-01T10:12:42
Royal Core x5,1200,2025-03-01T09:31:02
Royal Core x5,1200,2025-03-01T09:31:02
Royal Core x5,1200,2025-03-01T09:31:02
Royal Core x5,1200,2025-03-01T09:31:02
Royal Core x5,1200,2025-03-01T09:31:02
Fiendish Tor Glyph x6,5,2025-03-01T09:30:35
Fiendish Amu Glyph x4,5,2025-03-01T09:30:35
Plasma Cell x5,1200,2025-03-01T09:29:22
Plasma Cell x5,1200,2025-03-01T09:29:22
Plasma Cell x5,1200,2025-03-01T09:29:22
Crest of Ur x5,1200,2025-03-01T09:27:42
Crest of Ur x5,1200,2025-03-01T09:27:42
Crest of Ur x5,1200,2025-03-01T09:27:42
Crest of Ur x5,1200,2025-03-01T09:27:42
Crest of Ur x5,1200,2025-03-01T09:27:42
Advanced Orb of Alchemy,4500,2025-03-01T09:20:35
Advanced Orb of Alchemy,4500,2025-03-01T09:20:35
Advanced Orb of Alchemy,4500,2025-03-01T09:20:35
Elite Orb of Alchemy,8900,2025-03-01T09:18:55
Elite Orb of Alchemy,8900,2025-03-01T09:18:55
Elite Orb of Alchemy,8900,2025-03-01T09:18:55
Autogun,1700,2025-03-01T09:16:02
Autogun,1599,2025-03-01T09:15:35
Hallow Dapper Combo,6000,2025-03-01T09:12:15
Autogun,5000,2025-03-01T08:46:02
Autogun,10000,2025-03-01T08:44:22
Autogun,10000,2025-03-01T08:44:22
Military Node Container,15000,2025-03-01T08:44:22
Divine Node Slime Guards,15000,2025-03-01T08:43:06
Toasty Node Container,10000,2025-03-01T08:39:22
Toasty Node Receiver,10000,2025-03-01T08:39:22
Dusky Tailspin,15000,2025-03-01T08:38:55
Fancy Node Receiver,10000,2025-03-01T08:38:55
Regal Node Container,10000,2025-03-01T08:38:55
Regal Node Receiver,10000,2025-03-01T08:38:55
Cool Maid Headband,5000,2025-03-01T08:38:06
Cool Node Container,5600,2025-03-01T08:38:06
Dusky Node Container,5600,2025-03-01T08:38:06
Regal Node Slime Guards,10200,2025-03-01T08:37:42
Heavy Node Slime Guards,9000,2025-03-01T08:37:15
Fancy Node Slime Guards,9000,2025-03-01T08:36:26
Phantamos Recipe,30000,2025-03-01T08:35:35
Military Node Slime Mask,5000,2025-03-01T08:35:35
Regal Node Slime Mask,6300,2025-03-01T08:35:35
Divine Node Slime Mask,7000,2025-03-01T08:34:46
Volcanic Node Slime Mask,15000,2025-03-01T08:34:22
Frosty Splash Sarong,73000,2025-03-01T08:33:55
Electric Splash Trunks,20000,2025-03-01T08:33:55
Riftlocker Recipe,29000,2025-03-01T08:14:46
Fusion Blaster Recipe,14000,2025-03-01T08:14:46
Brandish,1111,2025-03-01T07:55:35
Radiant Forge Prize Box,130000,2025-03-01T07:11:04
